tag_id,name
1,자연
2,산책
3,등산
4,가족단위
5,데이트코스
6,사진찍기
7,반려동물가능
8,주차가능
9,맛집탐방
10,친구와함께
11,아늑한
12,혼자가기좋은
13,야경맛집
18,온천
19,힐링
20,조용한
21,고즈넉한
22,뷰맛집
23,일본료칸
24,트렌디한
25,인스타감성
26,포토존
27,피크닉
28,야외활동
29,무료입장
30,문화체험
31,쇼핑
32,캠핑
33,활기찬
34,놀이기구
35,전망
36,휴식
37,오리배
38,관광
39,맛집
40,막국수
41,고급스러운
42,아이와함께
43,수영장
44,체험학습
45,랜드마크
46,해루질
47,라이딩
48,와이파이
49,헬스/헬스장
50,테이크아웃
51,감성적인
52,복고풍
53,하이킹
54,낚시
55,수영
56,즐거운
57,문화적인
58,교육적인
59,자연스러운
60,아름다운
61,단체가능
62,음식
63,슬세권
64,학습
65,일몰
66,전시회 관람
67,카페
68,키즈존
69,역사 유적지
70,디저트
71,명상
72,수국
73,산
74,야경
75,폭포
76,바다
77,역사
78,불교
79,실내활동
80,무장애 데크길
81,휠체어접근가능
82,가족외식
83,회식장소
84,룸식당
85,예약필수
86,선물
87,교육
88,여행
89,실내 활동
90,이색체험
91,인터렉티브체험
92,미술 감상
93,역사 유적지 탐방
94,귀여운 강아지
95,맛있는 음식
96,파티
97,가성비좋은
98,자연 명소 탐방
99,교통
100,스파
101,바베큐
102,전통체험
103,역사유적
104,축제
105,싱싱한 해산물
106,룸있는 식당
107,포장마차
108,웨이팅맛집
109,이색데이트
110,배달가능
111,기념품
112,해변
113,무료픽업
114,오션뷰
115,야간활동
116,룸
117,마사지
118,호캉스
119,아침식사
120,커피맛집
121,조식맛집
122,문화
123,꽃구경
124,조식제공
125,룸서비스
126,해외 여행
127,야구
128,뷰티
129,전시회
130,유료입장
131,여름
132,물놀이
133,데이터로밍
134,저렴한
135,흥정가능
136,역사적인
137,야식맛집
138,풀빌라
139,한옥
140,애플망고
141,선물용
142,대형카페
143,실내데이트
144,야시장
145,액티비티
146,전문적인
147,신뢰가는
149,효율적인 이동
150,콘센트있음
151,애견동반
152,간단하게
153,픽업서비스
154,할인혜택
155,플리마켓
156,귀여운
157,웨이팅
161,카페탐방
162,숲길
163,친환경
164,유익한
165,이국적인
166,학습장소
167,공연
168,공원
169,음료
170,관광지
171,싱싱한
172,도시
173,영화 촬영지
174,전통시장
175,현지인맛집
176,서핑
177,서울근교
180,역사유적지
181,신선한
182,시장
183,새벽시장
184,시락국
185,가정생활
186,가성비
187,호텔
188,벚꽃
189,스키/보드
190,교통편리
191,역근처
192,숙소
193,드라이브코스
194,신비로운
197,음악
198,공연 관람
199,해외여행
200,조개잡이
201,전통문화
202,이색적인
203,드라이브
204,셀프서비스
205,스노클링
206,해안가 산책
207,휴대성
208,차량용
209,밀폐력
210,생태 체험
211,생태계
212,스노쿨링
213,은어 낚시
214,홈트
215,층간소음
216,휴양
217,골프
218,아이랑함께
219,바다뷰
220,족욕
221,예스키즈존
222,아이랑가볼만한곳
223,나들이
224,체험
225,럭셔리
226,어린이체험
227,건강
228,24시간운영
229,온수풀
230,렌트카
231,제주도
232,공항
233,얼큰한
234,푸짐한
235,사진찍기 좋은곳
236,로컬맛집
237,튼튼함
238,디자인
239,아기의자
240,레저활동
241,면세점
242,스포츠
243,액션
244,차박
245,정원
246,가족나들이
247,계곡
248,불멍
249,정보
251,서비스좋음
252,프라이빗
253,피트니스
254,워터파크
255,예약가능
256,노천탕
257,로맨틱한
258,연인
259,피부관리
260,인테리어
261,노포
265,야구 관람
266,자연 명소
267,테라스
268,브런치
269,팝업스토어
270,도심속힐링
271,건강식
272,커피
273,일출
274,노키즈존
275,다양한상품
276,할인
277,자쿠지
278,수영장펜션
279,계곡펜션
280,온수수영장
281,해녀
282,예쁜곳
283,운동
285,예쁜
287,바다전망
288,돈까스
289,여행/탐방
290,바베큐장
291,모임
292,친절한
293,시내
294,테마파크
295,카페 탐방
296,해산물
297,친절한 서비스
298,드라마촬영지
299,일몰명소
300,일출명소
301,가성비숙소
302,뚜벅이여행
303,걷기좋은
304,트레킹
305,카약
306,건축물
307,야자수
308,해수욕
309,추억
310,아픈 역사
311,예술/문화
312,전통 체험
313,과학
314,전시
315,장기투숙
316,대구데이트코스
317,대구이색데이트
318,대구실내데이트
319,대구사진찍기좋은곳
320,커플과함께
321,재미
322,야간명소
323,비오는날
324,사진 찍기
325,도톤보리
326,난바역
327,해돋이
328,커플
329,해안도로
331,행사
332,섬여행
333,국내섬여행
334,무인도체험
335,섬트레킹
336,배타고
337,유람선
338,다채로운
340,자전거 타기
341,현지인
342,계곡힐링
343,청정자연
344,등산과계곡
345,가평가족나들이
346,식도락
347,전시회관람
348,미술감상
349,아이랑가기좋은
350,동물카페
351,먹이주기 체험
352,아기자기한
353,봄꽃
354,전망 좋은 곳
355,풍차
356,해수욕장
357,갈치국
358,갈치조림
359,공연장
363,사찰
364,꽃게다리
365,
